stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\TowerDefense\bin\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00069] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.35317] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.35634] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.35648] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.35651] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.35652] added dtor for voice 02C09080, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   0.35654] added dtor for mixer 02C09230, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.35656] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.35656] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.35888] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.35892] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.35960] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.36033] added dtor for sample_instance 02C094B0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.36036] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.36037] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.36038] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.36040] added dtor for sample_instance 02C15900, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.36041] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.36043] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.36046] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.36049] added dtor for sample_instance 02C15A70, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.36051] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.36051] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.36052] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.36054] added dtor for sample_instance 02C15BC8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.36055] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.36056] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.36056] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.36059] added dtor for sample_instance 02C15DB0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.36060] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.36061] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.36062] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.36063] added dtor for sample_instance 02C15F18, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.36070] sample matrix:
